artist,album,_img_,img,track,date
Дотла,Середина 90-х,https://289118.selcdn.ru//media/covers/0/0/1/1855/20191117221214_large_seredina_90_h.jpeg,img/20191117221214_large_seredina_90_h.jpeg,https://soundcloud.com/dotlakyiv/q9xuhsea0ekx?in=dotlakyiv/sets/seredina-90,2019-06-07
Mushmellow,Rare Garage Days,https://avatars.yandex.net/get-music-content/113160/177ce908.a.7475414-1/m1000x1000,,https://soundcloud.com/mushmellowofficial/wish-you-alive-1?in=mushmellowofficial/sets/rare-garage-days,2019-05-29
Mentions,Ким Ти Є ,https://avatars.yandex.net/get-music-content/113160/70bdf837.a.7540611-1/m1000x1000,,https://soundcloud.com/mentions_band/mentions-official-audio-1?in=mentions_band/sets/official-album,2019-05-29
leitmotiv,Womb,https://avatars.yandex.net/get-music-content/2383988/e08b6814.a.9281114-1/m1000x1000,,https://soundcloud.com/lkd_dragon/01-d-naturate?in=lkd_dragon/sets/leitmotiv-womb,2019-11-21
Дотла,Ради чего это всё,https://avatars.yandex.net/get-music-content/2390047/ba101be5.a.8859953-1/m1000x1000,,https://soundcloud.com/dotlakyiv/pksgnhymlvoe?in=dotlakyiv/sets/radi-chego-ep,2019-09-27
Юность-21,ЮНОСТЬ,https://cdn-38.myzcloud.me/img/70/18367526/48155252.jpg,img/48155252.jpg,https://soundcloud.com/gedema/jglte9yo2kh1?in=gedema/sets/yunost,2019-02-16
Hybird,Chernobyl,https://geo-static.traxsource.com/files/images/b3d9d0b0d4d6c94aaaa6fdf406cee174.jpg,img/b3d9d0b0d4d6c94aaaa6fdf406cee174.jpg,https://soundcloud.com/podilvibes/hybird-chernobyl-original-mix?in=podilvibes/sets/chernobyl-ep-pv004,2019-10-22
Flying metal band,SeedingPain,https://i0.wp.com/metalzine.org/wp-content/uploads/2019/06/Seeding-Pain.jpg?fit=960%2C960&ssl=1,img/Seeding-Pain.jpg,https://www.youtube.com/watch?v=BNvgIQh5KyQ&feature=youtu.be,2019-06-05
Oy Sound System,Amnezia Project,https://i1.sndcdn.com/artworks-000043155571-sf3pgd-t500x500.jpg,img/artworks-000043155571-sf3pgd-t500x500.jpg,https://soundcloud.com/oy-sound-system/amnezia-sound-4-1?in=oy-sound-system/sets/amnezia-project,2019-05-14
Asyncronous,The Art of Fighting in a Dream,https://i1.sndcdn.com/artworks-000469744416-zx1ifh-t500x500.jpg,https://i1.sndcdn.com/artworks-000469744416-zx1ifh-t500x500.jpg,https://soundcloud.com/slow-life/a1-point-of-no-return?in=slow-life/sets/sl020-asyncronous-the-art-of-fighting-in-a-dream,2019-01-10
Ницо Потворно,Револьвер 13,https://i1.sndcdn.com/artworks-000471294636-8m68aw-t500x500.jpg,https://i1.sndcdn.com/artworks-000471294636-8m68aw-t500x500.jpg,https://soundcloud.com/potvorno/vu440wnsjnyf?in=potvorno/sets/revolver-13,2019-01-12
Nicky Twice,"BEAT PACK | ""Sound Waves""",https://i1.sndcdn.com/artworks-000488245398-8wtphl-t500x500.jpg,https://i1.sndcdn.com/artworks-000488245398-8wtphl-t500x500.jpg,https://soundcloud.com/nicky_twice/beat-123?in=nicky_twice/sets/sound-waves,2019-02-13
правила поведения с пьяным мужем,проходите мимо,https://i1.sndcdn.com/artworks-000489715104-0ro717-t500x500.jpg,https://i1.sndcdn.com/artworks-000489715104-0ro717-t500x500.jpg,https://soundcloud.com/drunkhusband/mimo?in=drunkhusband/sets/prokhodite-mimo,2019-02-16
Lazy Sleepy Dog,pleasure,https://i1.sndcdn.com/artworks-000492493809-hgcg03-t500x500.jpg,https://i1.sndcdn.com/artworks-000492493809-hgcg03-t500x500.jpg,https://soundcloud.com/lazysleepydog/midnight?in=lazysleepydog/sets/pleasure,2019-02-21
ALEXIS MACHINE,RAGE!EP (Live in Dnepr),https://i1.sndcdn.com/artworks-000496143225-la57cr-t500x500.jpg,https://i1.sndcdn.com/artworks-000496143225-la57cr-t500x500.jpg,https://soundcloud.com/alexismachineband/04-live?in=alexismachineband/sets/alexis-machine-rageep-live-in-dnepr,2019-03-01
Устрица,Мы на рейве,https://i1.sndcdn.com/artworks-000496333113-t2ycjj-t500x500.jpg,https://i1.sndcdn.com/artworks-000496333113-t2ycjj-t500x500.jpg,https://soundcloud.com/user-969885368/my-na-reyve?in=user-969885368/sets/5rlkwzjlywsm,2019-02-28
Scuff'Under,ТакМалоСвітлаТут2,https://i1.sndcdn.com/artworks-000505342383-14snqo-t500x500.jpg,https://i1.sndcdn.com/artworks-000505342383-14snqo-t500x500.jpg,https://soundcloud.com/scuffunder/forget?in=scuffunder/sets/tmst2,2019-03-17
СКОТЫЧ,СКОРОПОРТ,https://i1.sndcdn.com/artworks-000519437283-wi2riy-t500x500.jpg,https://i1.sndcdn.com/artworks-000519437283-wi2riy-t500x500.jpg,https://soundcloud.com/scotych/rezolyutsiya?in=scotych/sets/etnbyc4uh5mm,2019-04-13
Me'leron,Мелимоноль (часть 1),https://i1.sndcdn.com/artworks-000528367272-p5puhy-t500x500.jpg,https://i1.sndcdn.com/artworks-000528367272-p5puhy-t500x500.jpg,https://soundcloud.com/meleronband/meleron-otkroy-glaza?in=meleronband/sets/meleron,2019-05-01
PRUZZKID,АНАБІОZ,https://i1.sndcdn.com/artworks-000533564136-1z9ela-t500x500.jpg,https://i1.sndcdn.com/artworks-000533564136-1z9ela-t500x500.jpg,https://soundcloud.com/pruzzkid/3sn0kxwdk0ww?in=pruzzkid/sets/pruzzkid-anabioz-album-2019,2019-05-12
Dirty Flat,DIRTY TAPE,https://i1.sndcdn.com/artworks-000551359935-8gy22d-t500x500.jpg,https://i1.sndcdn.com/artworks-000551359935-8gy22d-t500x500.jpg,https://soundcloud.com/dilladank/dirty-bobby-dilladank-young?in=dilladank/sets/dirtytape,2019-06-13
