"artist","album","track","audio","img"
"1914","The Blind Leading The Blind","","","https://f4.bcbits.com/img/a3668139661_10.jpg"
"044 Rose","ROSE 044","","","https://fastfoodmusic.com/wp-content/uploads/2018/11/dGwSYqB7D_w.jpg"
"2sleepy","For The Next Day","A Driver for the Night","2sleepy_A_Driver_for_the_Night.mp3","https://liroom.com.ua/wp-content/uploads/2018/11/2-2-500x500.jpg"
"8X8","New Data New Day","","","https://rock.ua/rockdb/i/cd/full/1174-new_data_new_day.jpg"
"Advokaty","23:45","23:45","Advokaty_23_45.mp3","https://rock.ua/rockdb/i/cd/full/1050-2345.jpg"
"Aero Benin","Aero Benin","Sun Always Rise","Aero_Benin_Sun_Always_Rise.mp3","https://f4.bcbits.com/img/0014279796_10.jpg"
"AGHIAZMA","Plus Ultra","","","https://toloka.to/photos/181124150853804752_f0_0.jpg"
"Alex Demian","Зорі в неоні","","","https://images.shazam.com/coverart/t406916381-b1398941960_s400.jpg"
"Alex Zakharchuk","ЖИВЕМ ОДИН РАЗ","","","http://vinyla.com.ua/files/products/alex-zakharchuk-zhivem-odin-raz.800x700.jpg?1d6952fc939f85a104853c75f447208c"
"Amphibian Man","No Surfers In My Town","","","https://f4.bcbits.com/img/a0533825538_10.jpg"
"Andrey Chmut","Smoothability","Moving Forward","Andrey_Chmut_ Moving Forward.m4a","https://images-na.ssl-images-amazon.com/images/I/710YwOmMLQL._SL1400_.jpg"
"Anna Mia Quintet","Miasophy","Anna Mia Quintet - Character","Anna_Mia_Quintet_Character.mp3","https://fancymusic.ru/wp-content/uploads/2012/12/Cover50080.jpg"
"Anton Belov","Piano Works I","Woven","Anton_Belov_Woven.mp3","https://f4.bcbits.com/img/a1868104046_16.jpg"
"Artem Bemba","Airways","","","https://1.bp.blogspot.com/-2IgbmtpiygU/Wn8iR7hnssI/AAAAAAAAFDw/U0UzlSv0avQ4bNsa2WKcdC_-VVT_q3wkQCLcBGAs/s320/folder.jpg"
"Atomic Simao","Levitation Loom Four","Paper Towers","Atomic_Simao_Paper_Towers.mp3","https://karabas.live/wp-content/uploads/2018/12/47345209_369567920464006_630201534889590784_n.jpg"
"Balaklava Blues","FLY","","","https://l.facebook.com/l.php?u=https%3A%2F%2Fnotatky.com.ua%2Fwp-content%2Fuploads%2Ffly-400.jpg%3Ffbclid%3DIwAR1I-q5tJSSTEvcIE5qkhiLQYxN9-Tv6fRxdtF00nHQrIZDNVPzE12wYtqU&h=AT1sUxYCFrS_DW_q0-TcigX63pxuXqI37_bjECuRu_2_8pNCSdPOr0c25tZ_W1cyXdGAvUyx-8_l-AjrwXHkFvA9uTE1FPP2oL5YGNvPpN1Po2SElZZ9yWTt0xAjmg"
"Banned society","Candy","No My Faces (feat. Marzena Slowik)","banned_society_No_My_Faces_(feat._Marzena_Slowik).mp3","https://images-na.ssl-images-amazon.com/images/I/51kxZ2uCB%2BL._SS500.jpg"
"Barkasth","Decaying","","","https://f4.bcbits.com/img/a2291918888_10.jpg"
"Bichkraft","800","","","https://f4.bcbits.com/img/a4238537535_16.jpg"
"Blooms Corda","Fog Lavender","Moya california","Blooms_Corda_Moya_california.mp3","https://i1.sndcdn.com/avatars-000527218128-mqm07c-t500x500.jpg"
"BRAT","V$TAVЛЯЄ","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a2229912206_10_1.jpg"
"Bria Blessing & ShockolaD","Ivasyuk","","","https://direct.rhapsody.com/imageserver/images/Alb.330395506/500x500.jpg"
"BSxBC","Cave Canem","","","https://f4.bcbits.com/img/a1847245228_16.jpg"
"BUNHT","OPEN","","","https://avatars.yandex.net/get-music-content/193823/e9134d5e.a.5647581-1/m1000x1000"
"Cancel band & DJ Shon","Movement","Dust","The_Cancel_&_DJ_Shon_Dust.mp3","https://f4.bcbits.com/img/a1376510507_16.jpg"
"Cape Cod","Echoes","Echo 3","Cape_Cod_Echo_3.mp3","https://i1.sndcdn.com/artworks-000412022217-rrqn5f-t500x500.jpg"
"CEPASA","Dark Beauty","Dark Beauty","Cepasa_Dark_Beauty.mp3","https://toloka.to/photos/181220211919804752_f0_0.jpg"
"CHSZM","Love","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a2850684743_10_0.jpg"
"CODÂNE","Реалізм","","","https://toloka.to/photos/181123131836804752_f0_0.jpg"
"Coven","Black Dahlia (Dahlia Murder)","","","https://images-na.ssl-images-amazon.com/images/I/61mMCTGV0XL._SS500.jpg"
"Cuckoo's Nest","tales of human being","","","https://f4.bcbits.com/img/a1268278301_10.jpg"
"Daamage","Зло Употребляй","","","https://i1.sndcdn.com/artworks-000356486577-jg6pue-t500x500.jpg"
"DaKooka","Герой","Герой","daKooka_Герой.mp3","https://s.mxmcdn.net/images-storage/albums4/0/0/5/1/2/2/40221500_350_350.jpg"
"Danny Delta","НАВИДЖУ","","","https://toloka.to/photos/181024120513804752_f0_0.jpg"
"Dark Side Trio","Old Bookcase","City of the Large Squares","Dark_Side_Trio_City_of_the_Large_Squares.mp3","https://kyiv-online.net/wp-content/uploads/2018/05/afisha-kyiv-space-mk-dark-side-trio.jpg"
"Dead Faith","Mourning Star","","","https://f4.bcbits.com/img/a0988329775_16.jpg"
"Deadly Oak","Existential Crisis (Red Lust​-​Phobia)","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a4147764518_10.jpg"
"Delta Arthur","Trappin in Ukraine","","","https://f4.bcbits.com/img/a2190904254_10.jpg"
"DETACH","D.R.A.M.A","","","https://toloka.to/photos/181129132257804752_f0_0.jpg"
"DoZa","Shaman's movie","","","https://images-na.ssl-images-amazon.com/images/I/51DcqgQ0atL._SS500.jpg"
